ArtistID,Name,Role,PrimaryProfession,Gender,Photo,DateOfBirth,Place,Country,TwitterID,Biography,Filmography,UpcomingMovies,UnknownFacts,News,Videos,Gallery,Awards,QID,Wikipedia
9740,Aditi Rao Hydari,"Actress,Singer",Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/aditi-rao-hydari-20180221173356-9740.jpg,28 Oct 1986,Hyderabad,IN,,"Aditi Rao Hydari is an Indian film actress and singer, who works in Tamil and Bollywood industry, she made her acting debut with the 2007 Tamil film Sringaram, in which she enacted the lead character, as a devadasi. The movie received critical acclaim and fetched several accolades, including three National Film Awards. Her first film to release in theatres, however, was the 2006 Malayalam film Prajapathi, in which she starred alongside Mammootty.She was born in Hyderabad, into two royal lineages, that of Muhammad Saleh Akbar Hydari and J. Rameshwar Rao of erstwhile Raja of Wanaparthy family.She gave a re-entry to Tamil movie with Kaatru Veliyidai, her first collaboration with director Mani Ratnam. Kaatru Veliyidai garnered mixed reviews; though critics predominantly praised the performance of Aditi. Personal Life Aditi Rao Hydari met actor Siddharth on the sets of their film Maha Samudram in 2021. The two developed a close bond during the shoot and began dating later that year. On March 28, 2024, Aditi and Siddharth publicly announced their engagement. The couple tied the knot on September 16, 2024, in a private ceremony held at the 400-year-old Sri Ranganayakaswamy temple in Wanaparthy, Telangana.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=9740,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=9740,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=9740,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=9740,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=9740,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=9740,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=9740,Q4683039,https://en.wikipedia.org/wiki/Aditi_Rao_Hydari
3450,Bhavya,"Actress,Actor",Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/bhavya-3450.jpg,,,IN,,"Bhavya (Bharathi) is a famous and prolific actress in the Kannada language film industry.She is best known for her many films made during the 1980s, but she has made more than a hundred films. Her roles have been both sentimental and glamorous. In addition to films, she has acted in the TV soap opera Durga.Bhavya is married to Rahul Verma.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=3450,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=3450,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=3450,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=3450,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=3450,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=3450,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=3450,Q4901578,https://en.wikipedia.org/wiki/Bhavya
50583,Isaivani,,,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/isaivani-20211003124720-50583.jpg,1996,,IN,,"Isaivani is a gaana singer from Chennai, who performs with 'The Casteless Collective' an Indian indie band based in Chennai. Isaivani was born in Royapuram in Chennai in 1996 to Sivakumar D and Selvi. Isaivani's performance career began at the age of six, alongside her father and by 2018 she had performed approximately 10,000 shows with him. Later, Isaivani became one of the first professional female gaana singers in the world. The music she sings with The Casteless Collective is political: in 2018 they released 'Beef Song' in protest at the lynching of dalit people; in 2019 they released 'I’m Sorry Ayyappa' about the Sabarimala temple controversy.In 2020, Isaivani was recognised for her contributions to gaana music with a BBC 100 Women Award.Bigg Boss TamilIsaivani is one of the contestants in Bigg Boss Tamil season 5 that airs on Star Vijay TV, hosted by Kamal Haasan.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=50583,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=50583,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=50583,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=50583,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=50583,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=50583,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=50583,Q102291867,https://en.wikipedia.org/wiki/Isaivani
1413,Begum para,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/begum-para-1413.jpg,,,IN,,Mother of actor Ayub Khan.Wife of actor Nasir Khan.,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=1413,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=1413,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=1413,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=1413,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=1413,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=1413,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=1413,,
31283,Shweta Tripathi,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/shweta-tripathi-20191218152039-31283.jpg,06 Jul 1985,Delhi,IN,,"Shweta Tripathi born in Delhi, lived all her life in the capital city, except for the three years she spent living in the gorgeous Andaman and Nicobar Islands. She did her primary schooling at DPS Rk puram, New Delhi and graduated from NIFT, Delhi and then went on to relocate to Mumbai. Shweta's off screen interests are photography and dancing. Design and travelling are the 2 things that she loves to indulge in every opportunity she gets. She loves spending time shopping for things to make her house as unique as it can get. She would love to have a home which is completely the 'Willy Wonka' way. She is a true lover of the Color 'pink'. Also an avid adventure junkie, Shweta loves to try new things to keep her adrenaline going. In fact, on a recent family vacation she developed a new passion for scuba diving and now she plans to further explore the mysteries of the sea by diving as often as she can. Shweta is a big foodie and nothing impresses her more than a lovely meal.Shweta is mostly known for her role as the tomboyish Zenia Khan in the show Kya Mast Hai Life. She also acted in an ad of Tata Sky download, and mcdonalds and most recently Vodafone .She was once a photo editor for the women's magazine, Femina. Before acting in the Disney show she was also cutting trailers at Pixion trailer house which is a post production house in Mumbai and also running her theater company ' All my tea ' productions.she has also been a part of plays like cat in the house and blur.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=31283,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=31283,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=31283,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=31283,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=31283,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=31283,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=31283,Q7505885,https://en.wikipedia.org/wiki/Shweta_Tripathi
17437,Deepu (Singer),Singer,Singer,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/deepu-17437.jpg,10 Apr 1986,"Hyderabad, Andhra Pradesh.",IN,,"Deepu, is a South Indian playback singer. He has recorded several songs in Telugu. His hits include Satyam Emito – Athidi, Nachore – Yamadonga, Love U Raa – Chirutha, Nakosam Nuvvu – Magadheera, Hatthiri Entha – Gamyam and so on.Early lifeHe was born on 10th April, 1986 as a younger child to Mr.Venkata chary and Sujatha. He learnt Carnatic vocals for 10 years. He initially got trained under Mr.K.Ramachari and Mr.Vyzersu Balasubramanyam. And learnt light music from Ramachari, who was a finalist on a TV reality singing competition. He graduated in 2007 with a Engineering degree in Information Technology from DVR College of Engineering and Technology, under the auspices of JNT University, Hyderabad. His sibling Praveen Kumar was also an upcoming music director in Telugu Film Industry.CareerDeepu’s first recording was for the movie 10th class in which he sang Jabilli Teliyadu. But he got recognition for the song Nachore from the movie Yamadonga which was a huge block buster in that year and even the song too. Later he sung for so many movies like Athidi, Chirutha, Maghadeera, Gamyam and so on. He was singing professionally since 5 years, sung in more than 40 films and worked with many music directors like M.M.Keeravani, Mani Sharma, Koti, M.M.Sreelekha, Ghantadi Krishna, Mickey J Mayer, Chakri and so on.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=17437,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=17437,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=17437,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=17437,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=17437,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=17437,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=17437,,
5696,Jean-Claude Van Damme,"Actor,Producer,Director",Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/jean-claude-van-damme-5696.jpg,18 Oct 1960,,IN,,"Jean-Claude Camille François Van Varenberg born on 18 October 1960. He professionally known as Jean-Claude Van Damme  is a Belgian martial artist and actor. Van Damme is best known for his martial arts action movies. His most successful films include Bloodsport (1988), Kickboxer (1989), Double Impact (1991), Universal Soldier (1992), Hard Target (1993), Timecop (1994), and JCVD (2008). Due to his physique and his Belgian background, he is known as ""The Muscles from Brussels.""After studying martial arts intensively from the age of ten, Van Damme achieved national success in Belgium as a martial artist and bodybuilder, earning the ""Mr. Belgium"" bodybuilding title. He emigrated to the United States in 1982 to pursue a career in film, and achieved success with Bloodsport (1988), based on a story written by Frank Dux. He attained subsequent box office success with Timecop (1994), which grossed over $100 million worldwide and became his most financially successful film.Personal life:Van Damme was born in Sint-Agatha-Berchem (Brussels), Belgium, the son of Eliana and Eugène Van Varenberg, who was an accountant and owned a flower shop. He began martial arts at the age of ten, enrolled by his father in a Shotokan karate school. His styles consist of kickboxing, Shotokan karate, Muay Thai, and Taekwondo. He eventually earned his black belt in karate.[9] He started lifting weights to improve his physique, which eventually led to a Mr. Belgium bodybuilding title.At the age of 16 he took up ballet, which he studied for five years. According to Van Damme, ballet ""is an art, but it's also one of the most difficult sports. If you can survive a ballet workout, you can survive a workout in any other sport."" In the French-speaking world, Van Damme is well known for the picturesque aphorisms that he delivers on a wide range of topics (personal well-being, the environment, etc.) in a sort of Zen franglais. Most famous and often quoted was his repeated use of the English word aware during an interview for a French channel, to convey the notion of self-awareness as a key to success. In a 2009 interview in the British newspaper The Sun, promoting his film JCVD (of which Time magazine said ""He deserves not a black belt, but an Oscar""), Van Damme indicated he experienced a period of homelessness ""sleeping on the street and starving in L.A."" Van Damme has been married five times, including two marriages with bodybuilder and fitness competitor Gladys Portugues. Van Damme is the father of three children: Kristopher (born 1987), Bianca (born 1990), and Nicholas (born 1995).Health and addiction:Van Damme had troubles with cocaine that started during 1995. He entered a month-long rehabilitation program in 1996 but left it after only one week. In 1996, he spent up to $10,000 a week on cocaine. He is also reported to have experienced bipolar disorder. A turning point in his health issues came in late 1997, after having signed divorce papers charging him with spousal abuse, and drug addiction. After the filming of the 1998 film Knock Off, Van Damme was diagnosed with rapid cycling bipolar disorder after becoming suicidal and started treatment on the bi-polar medication sodium valproate to stabilize his mood. He also went through drug rehab a second time and successfully came clean in time to do other movies, along with made for video/cable movies.At the age of 12, Van Damme joined the Centre National De Karate (National Center of Karate) under the guidance of Claude Goetz in France. Van Damme trained for four years and he earned a spot in the Belgian Karate Team. He made his debut in 1976, at the age of 16. Competing under his birth name of Jean Claude Van Varenberg, he was staggered by a round-house kick thrown by Toon Van Oostrum in Brussels, Belgium. Van Damme was badly stunned, but came back to knock out Van Oostrum moments later. In 1977, at the WAKO Open International in Belgium, Van Damme lost a decision to fellow team mate Patrick Teugels. The experience left an impact on Claude Goetz and he felt that Jean-Claude needed more training before competing again.After six months of intense training and sparring, Master Goetz decided to unleash his prized pupil on the European Full-Contact scene. Jean-Claude won his first tournament by scoring three knockout victories in one evening. However, in a 1978 match for the Belgium lightweight title, he again lost a decision to Patrick Teugels. Once again, the loss left an impact on Claude Goetz and a few months later at Iseghem, Belgium, Van Damme came back and knocked out Emile Leibman in the first round. In 1979, Jean-Claude and the Belgium Team became European Team Champions.Next, he faced Sherman Bergman, a kickboxer from Florida, USA with a long string of knockout victories. For the only time in his career, Van Damme was knocked to the canvas after absorbing a powerful left hook. However, Jean-Claude climbed off the canvas and with a perfectly timed ax-kick, knocked Bergman out cold in 59 seconds of the first round. Van Damme ended 1979 with a stoppage of Gilberto (Gil) Diaz in one round. In 1980, Jean-Claude Van Damme defeated former Great Britain karate champion Michael J. Heming. Next, Van Damme scored a knockout over France's Georges Verlugels in two rounds. After these victories, Jean-Claude caught the attention of the European martial arts community. Professional Karate Magazine publisher and editor Mike Anders, and multiple European champion Geet Lemmens tabbed Jean-Claude Van Damme as an upcoming prospect. However, Jean-Claude's ambitions now focused in the direction of acting. Van Damme ended his fight career at the Forest National in Brussels. He knocked Patrick Teugels down and scored a first round technical knockout victory. Teugels suffered a nose injury and was unable to continue. Following the victory, Van Damme retired from martial arts competition. However, Van Damme made a comeback in 1981. In his first match he knocked out Henk Besselman of Holland in one round, and at the 1st Journée Des Arts Martiaux, Van Damme knocked out Lenny Leikman in 3 rounds. His final fight record was 20–2 (20 Knockouts), with all wins being knockouts and his two losses being by decision. Van Damme will make a return to fighting and is scheduled to fight former boxing Olympic gold-medalist Somluck Kamsing in April 2011. Various reports have named Las Vegas, USA, Moscow, Russia and Macau, China as locations for the bout. At the prospect of being the first man over the age of 50 to kickbox professionally, Van Damme stated that ""it's kind of dangerous, but life is short.""",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=5696,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=5696,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=5696,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=5696,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=5696,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=5696,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=5696,Q308840,https://en.wikipedia.org/wiki/Jean-Claude_Van_Damme
4850,Pooja Umashankar,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/pooja-umashankar-20130625170625-4850.jpg,25 Jun 1981,,LK,,"Pooja (born as Pooja Gautami Umashankar in Sri Lanka) is an actress in Kollywood and the Sinhala film industry. She has a Masters Degree in Business & Management. She was also a part of Mani Ratnam's stage show, Netru, Indru, Naalai (Yesterday, Today, Tomorrow).Early LifeHer mother is a Sri Lankan Sinhalese and her father is a Kannadiga. The languages she can speak are Sinhalese, Tamil, Kannada and English. She went to school and college in Bangalore, Baldwin's and Mount Carmel College, respectively. She got converted to Christianity.CareerHer debut film was Ullam Ketkumae in Tamil with Arya, Laila Mehdin, Shaam and Asin Thottumkal, which was directed by the late Jeeva. It wasn't released until her second and third films Jay Jay and Attagasam in 2003 and 2004, respectively. She bagged one of the main roles in Bala's movie Naan Kadavul by replacing Bhavana.TelevisionShe was one of the judges on the popular dance reality show Aatam Paatam Kondatam opposite dance master Prasanna on Kalaignar TV.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=4850,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=4850,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=4850,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=4850,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=4850,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=4850,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=4850,Q3534651,https://en.wikipedia.org/wiki/Pooja_Umashankar
8974,Ziyi Zhang,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/ziyi-zhang-8974.jpg,09 Feb 1979,Beijing,CN,,"Ziyi Zhang (Chinese: 章子怡, pinyin: Zhāng Zǐyí) is a Chinese film actress and singer. Zhang is considered one of the Four Young Dan actresses (四小花旦) in China, along with Zhao Wei, Xu Jinglei, and Zhou Xun.With a string of Chinese and international hits to her name, she has worked with renowned directors such as Zhang Yimou, Ang Lee, Wong Kar-Wai, Chen Kaige, Tsui Hark, Lou Ye, Seijun Suzuki, Feng Xiaogang and Rob Marshall.Early lifeZhang was born and raised in Beijing, China, the daughter of Zhang Yuanxiao, an economist, and Li Zhousheng, a kindergarten teacher. Zhang joined the Beijing Dance Academy at the age of 11. When Zhang's parents suggested she attend the school, she was skeptical. While at this boarding school, she noticed how catty the other girls were while competing for status amongst the teachers. Zhang disliked the attitudes of peers and teachers, so much that, on one occasion, she ran away from the school.Zhang entered China's prestigious Central Academy of Drama (regarded as the top acting college in China) at the age of 15.CareerAt the age of 19, Zhang was offered her first role in Zhang Yimou's The Road Home, which won the Silver Bear award in the 2000 Berlin Film Festival.Zhang further rose to fame due to her role as the headstrong Jen (Chinese version: Xia Long) in the phenomenally successful Crouching Tiger, Hidden Dragon, for which she won several awards in the West, such as Chicago Film Critics Association Awards, Toronto Film Critics Association Awards and Independent Spirit Awards. Zhang's first appearance in an American movie was in Rush Hour 2, but because she didn't speak English at the time, Jackie Chan had to interpret everything the director said to her. In the movie, her character's name, ""Hu Li,"" is translated from Mandarin Chinese to ""Fox"".Zhang then appeared in Hero, with her early mentor Zhang Yimou, which was a huge success in the English-speaking world and nominated for an Oscar and a Golden Globe award. Her next film was the avant-garde drama Purple Butterfly by Lou Ye, which competed at the 2003 Cannes Film Festival. Zhang went back to the martial arts genre with House of Flying Daggers (十面埋伏), which earned her a Best Actress nomination from the British Academy of Film and Television Arts.In 2046, directed by Wong Kar-wai, starring many of the best-known Chinese actors and actresses, Zhang was the female lead and won the Hong Kong Film Critics' Best Actress Award and the Hong Kong Film Academy's Best Actress Award.Showing her whimsical musical tap-dancing side, Zhang starred in Princess Raccoon, directed by Japanese legend Seijun Suzuki, who was honored at the 2005 Cannes Film Festival.In 2005, Zhang landed the lead role of Sayuri in the film adaptation of the international bestseller Memoirs of a Geisha. There was a slight controversy in Japan about a Chinese woman portraying a Japanese Geisha. For the film, she reunited with her 2046 co-star Gong Li and with her Crouching Tiger co-star Michelle Yeoh. For the role, Zhang received a 2006 Golden Globe Award nomination, a Screen Actors Guild Award nomination and a BAFTA nomination.Zhang has also been known to sing, and was featured on the House of Flying Daggers soundtrack with her own musical rendition of the ancient Chinese poem, Jia Rén Qu (佳人曲, The Beauty Song). The song was also featured in two scenes in the film.On June 27, 2005, it was announced that Zhang had accepted an invitation to join the Academy of Motion Picture Arts and Sciences (AMPAS), placing her among the ranks of those able to vote on the Academy Awards.In May 2006, Zhang became the youngest member to sit on the jury of the Cannes Film Festival. In the fall of 2006, Zhang played Empress Wan in The Banquet (Yè Yàn 夜宴), a film set in the Tang Dynasty.Zhang provided the voice of Karai in the TMNT movie that was released on March 23, 2007. She later starred in Forever Enthralled (Mei Lanfang) (2008) and appeared in The Horsemen (2009) with Dennis Quaid.Personal lifeSoon after Zhang's debut in Zhang Yimou's The Road Home, rumors arose regarding a possible affair between the actress and the older director. Zhang Yimou was previously involved in an extramarital affair with actress Gong Li, whom he similarly debuted and with whom Zhang Ziyi was quickly compared. However, a relationship between the two remains unconfirmed.Hong Kong and Taiwanese media have often pushed at ties between Zhang and co-star Jackie Chan. This was fueled in part by photos that emerged of the pair during celebrations of Chan's birthday on the set of Rush Hour 2.Zhang for a while was publicly linked with Fok Kai-shan, grandson of Hong Kong business tycoon Henry Fok.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=8974,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=8974,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=8974,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=8974,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=8974,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=8974,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=8974,Q90793614,
35068,Sayyeshaa Saigal,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/sayyeshaa-saigal-20190712152547-35068.jpg,12 Aug 1997,"Mumbai, Maharashtra, India",IN,,"Sayyeshaa Saigal is an Indian actress and grand niece of legend actor Dilip Kumar and Saira Banu. She is daughter of Sumeet Saigal and Shaheen Banu. She is made acting debut with Akkineni Akhil in a Tollywood Movie under the direction of V. V. Vinayak and producer Nithin. She made her Bollywood debut in Ajay Devgn's Shivaay, and her Tamil debut in the movie Vanamagan.MarriageOn 10 March 2019, she married Arya, her co-star in the film Ghajinikanth.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=35068,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=35068,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=35068,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=35068,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=35068,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=35068,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=35068,,
