ArtistID,Name,Role,PrimaryProfession,Gender,Photo,DateOfBirth,Place,Country,TwitterID,Biography,Filmography,UpcomingMovies,UnknownFacts,News,Videos,Gallery,Awards,Wikidata_name,QID,Wikipedia
46748,Reshma Nair,,,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/​reshma-nair-20200106153424-46748.jpg,,,IN,,Reshma Nair is a model and she is a participant of Bigg Boss Malayalam season 2.,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=46748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=46748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=46748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=46748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=46748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=46748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=46748,Reshma Nair,,
22384,Priyanka Upendra,"Actress,Actor,Producer",Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/priyanka-upendra-20190314152934-22384.jpg,12 Nov 1977,Kolkata,IN,,"Priyanka Upendra (born Priyanka Trivedi, Hindi : प्रियांका त्रिवेदि, Kannada: ಪ್ರಿಯಾಂಕ ತ್ರಿವೇದಿ) is an Indian actress who has acted in Kannada, Tamil and some Telugu and Bengali films. She is widely popular in Kollywood and is regarded as one of the top actors in the field.Personal lifePriyanka Trivedi is married to the famous Kannada cinema director, actor and script writer Upendra. The couple have a son Ayush born in 2007 and a daughter Aishwarya born in November 2008.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=22384,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=22384,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=22384,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=22384,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=22384,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=22384,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=22384,Priyanka Upendra,Q7246515,https://en.wikipedia.org/wiki/Priyanka_Upendra
1440,Tanay Chheda,Actor,Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/tanay-chheda-1440.jpg,27 Jun 1996,Mumbai,IN,,"Tanay Hemant Chheda is an Indian young actor. He has worked in the critically acclaimed film Slumdog Millionaire (2008), for which he has won the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture and received a nomination for Best Ensemble at the Black Reel Awards of 2008.Early Life And BackgroundTanay Hemant Chheda was born in Mumbai, India on 27 June 1996. He currently lives in Mumbai, his birthplace. He used to study in Campion School, but changed to Dhirubhai Ambani International School.Film CareerHe was first seen in the movie Don - The Chase Begins Again in 2006; he also has the critically acclaimed Taare Zameen Par in 2007 to his name and the award sweeping Slumdog Millionaire in 2008. In Don, he played the role of Deepu, the son of Jasjit (played by Arjun Rampal).In Taare Zameen Par, he played Rajan Damodaran, a handicapped child who is an extremely helpful and supportive friend to the protagonist Ishaan (played by Darsheel Safary).In Slumdog Millionaire, Chheda played the role of Jamal Malik, in adolescence, for which he has won the Screen Actors Guild Award for Outstanding Performance by a Cast in a Motion Picture and received a nomination for Best Ensemble at the Black Reel Awards of 2008. He also played the role of young Rizwan Khan in the Shahrukh Khan film, My Name Is Khan.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=1440,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=1440,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=1440,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=1440,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=1440,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=1440,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=1440,Tanay Hemant Chheda,,
4925,Krishna (Tamil Actor),Actor,Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/krishna-20131111125309-4925.jpg,14 Feb 1978,Chennai,IN,,"Krishna is a Tamil actor, his father is film producer Kulasekaran (Pattiyal Sekar) and his brother is noted film director, Vishnuvardhan. He went to St. Bede's Anglo Indian Higher Secondary School in Chennai, studied at the Loyola College and graduated in MBA finance in the USA. He worked for a year-and-a-half in the IT industry and started his own business that was doing well. He has also undergone training in Jazz and worked as a dancer/choreographer before he left for the US.CareerHe first faced the camera for Mani Ratnam's Anjali and later appeared in Iruvar and Santosh Sivan's The Terrorist. He was also chosen to play the younger version of Rajinikanth's character in Thalapathi, but the character was later scrapped because it affected the film's length.He played his first lead role in Ali Baba, which was produced by his father. The film met with favourable reviews, but was not a commercial success. After his first film, he wanted to do a gangster film based on a true incident in North Madras, called Madras to be directed by Five Star Krishna, but it was shelved because of misunderstandings between the director and producer. His next two films Kattradhu Kalavu and Kazhugu were also produced by his father. In Kazhugu, he played someone who recovers bodies of suicide victims who jump off a cliff. It received a positive response.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=4925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=4925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=4925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=4925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=4925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=4925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=4925,Krishna,Q25189354,https://en.wikipedia.org/wiki/Krishna_(TV_actor)
51976,Kalyan Dasari,Producer,Producer,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/kalyan-dasari-20220323163659-51976.jpg,,,,,"Kalyan Dasari is an Indian film Actor, who has worked predominantly in Telugu movie industry. Kalyan made his Tollywood debut as a hero with the superhero film Adhira under creative director Prasanth Varma. Kalyan is the son of Telugu big-budget producer D. V. V. Danayya, who produced SS Rajamouli's RRR.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=51976,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=51976,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=51976,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=51976,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=51976,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=51976,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=51976,Kalyan Dasari,,
2742,Thalaivasal Vijay,Actor,Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/thalaivasal-vijay-20190116154635-2742.jpg,04 Aug 1962,,IN,, ,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=2742,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=2742,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=2742,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=2742,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=2742,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=2742,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=2742,Thalaivasal Vijay,Q7709499,https://en.wikipedia.org/wiki/Thalaivaasal_Vijay
30945,Dhananjay,"Actor,Producer,Lyricst,Singer",Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/dhananjay-20180712101817-30945.jpg,23 Aug 0,"Arasikere, Hassan",IN,Dhananjayaka,"Dhananjaya is an Indian film and theatre actor working in the Kannada film industry. After appearing in a number of theatre productions, he made his feature film debut with ""Director's Special"" in 2013. He won the debut actor award at the SIIMA Awards for his performance in the film. He is endearingly referred to as a ""special star.""It was director Guruprasad who noticed his acting skills and gave him an important role in his feature film, ""Director's Special."" Dhananjaya played a villain named Dolly in director Duniya Suri's film Tagaru, starring Shivarajkumar. His rugged look became sensational and gained huge popularity through this movie.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=30945,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=30945,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=30945,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=30945,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=30945,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=30945,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=30945,Dhananjaya,,
46675,Chloe Zhao,"Director,Screenplay",Director,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/chloe-zhao-20210412115450-46675.jpg,,,,,"Chloe Zhao is a Chinese filmmaker who is famous for her work in US Films. She received critical acclaim for her films like `Songs My Brothers Taught Me', `The Rider', Nomadland and others. She received best director award in BAFTA And Oscars 2021 for her film Nomadland.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=46675,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=46675,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=46675,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=46675,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=46675,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=46675,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=46675,Chloe Zhao,Q21078321,https://en.wikipedia.org/wiki/Chlo%C3%A9_Zhao
64574,Suraj Chavan,,,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/suraj-chavan-20241006222817-64574.jpg,,,IN,,"Suraj Chavan is a prominent digital content creator who recently gained widespread recognition after winning the title of Bigg Boss Marathi Season 5, hosted by Riteish Deshmukh. Known for his creative and engaging content, Suraj has built a substantial online following, making a name for himself in the world of social media. His journey in Bigg Boss showcased not just his entertainment skills but also his ability to connect with the audience, earning him immense popularity and the coveted winner's trophy. His success in the show has further boosted his career, solidifying his place as a notable digital influencer.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=64574,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=64574,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=64574,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=64574,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=64574,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=64574,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=64574,Suraj Chavan,,
33519,Rapid Rashmi,Singer,Singer,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/rapid-rashmi-20181114163813-33519.jpg,,,,,"Rashmi R Rao also known as RJ Rapid Rashmi, is an Indian radio personality and actress from Bangalore. She has worked as a radio jockey and a TV anchor. Rashmi played main female lead in Golden Star Ganesh's brother Mahesh's Namakharam movie.Bigg Boss Kannada Season 6Rashmi takes part in the most controversial reality show Bigg Boss 6 in Kannada along with 17 other contestants.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=33519,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=33519,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=33519,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=33519,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=33519,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=33519,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=33519,Rapid Rashmi,Q48699909,https://en.wikipedia.org/wiki/Rapid_Rashmi
