ArtistID,Name,Role,PrimaryProfession,Gender,Photo,DateOfBirth,Place,Country,TwitterID,Biography,Filmography,UpcomingMovies,UnknownFacts,News,Videos,Gallery,Awards,QID,Wikipedia,Wikidata_name
48924,Deepthi Kalyani,,,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/deepthi-kalyani-20210208160421-48924.jpg,,,IN,,"Deepthi Kalyani is a transgender model, she is expected as a contestant in Bigg Boss Malayalam Season 3.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=48924,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=48924,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=48924,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=48924,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=48924,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=48924,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=48924,,,Deepthi Kalyani
7637,Ruchita Prasad,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/ruchita-prasad-7637.jpg,,,IN,,"Ruchita Prasad is an Indian film actress. She has worked as a lead actress in numerous Kannada and Telugu films besides working in a few Tamil and Malayalam films. She has appeared in many commercially successful and critically acclaimed feature films. She has shared screen space with Balakrishana, Shviarajkumar, Darshan, Ramesh Arvind. She has also starred opposite many actors in her career spanning over two decades.She debuted to Sandalwood under P H Vishwanath's direction in musical superhit movie Rangoli.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=7637,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=7637,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=7637,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=7637,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=7637,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=7637,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=7637,Q104450070,https://en.wikipedia.org/wiki/Ruchita_Prasad,Ruchita Prasad
2053,Parikshit Sahani,Actor,Actor,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/parikshit-sahani-20130903145216-2053.jpg,1944,"Muree, Punjab",IN,,"Parikshit Sahni is an Indian film and television actor, who is most known for playing the lead in the TV series Barrister Vinod, Gul Gulshan Gulfaam (Doordarshan) and Gaatha (STAR Plus).He is the son of noted actor Balraj Sahni and nephew of writer Bhisham Sahni. He was born while his father was teaching English at Visva-Bharati University in Shantiniketan of Rabindranath Tagore, and his mother was doing her bachelors. Schooled at Lawrence School, Sanawar, he went to study at Delhi's prestigious St. Stephen's College. Later, he began his career as a child artist, but couldn't match the rating of his father.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=2053,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=2053,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=2053,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=2053,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=2053,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=2053,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=2053,,,Parikshit Sahni
3555,Parvathi Melton,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/parvathi-melton-3555.jpg,1989,,IN,,"Parvati Melton is an Indian model and a Tollywood actress who is quite known for her height (5 feet 9 inches). She has acted with Raja in the film Vennela, which turned out to be a success.She was born in California to a German father and Punjabi mother. She has a sister named Ariana and has learnt Bharatanatyam as a child. Her first film Vennela was just a prelude to her immense potential as an actress.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=3555,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=3555,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=3555,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=3555,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=3555,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=3555,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=3555,,,Parvati Melton
39086,Jwell Mary,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/jwell-mary-20171012145036-39086.jpg,,,,,Jewel Mary (aka) Jwell Mary is an film actress and television anchor. She debuted as an actress in Salim Ahammed's latest film Pathemari along with Mammootty.She has also hosted several award nights in Malayalam television channels.,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=39086,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=39086,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=39086,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=39086,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=39086,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=39086,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=39086,,,Jewel Mary
3925,Goundamani,Actor,Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/goundamani-20140318110724-3925.jpg,25 May 1939,"Kannampalayam,Coimbatore",IN,,"Goundamani is a Tamil film actor and comedian. He is renowned for his acts with Senthil in Tamil cinema. He is known in Tamil cinema for his insult comedies. He was the comedian that Tamil cinema was mostly interested in before the arrival of Vivek and Vadivel. Early Life And CareerGoundamani was born in Kannampalayam, a village in Coimbatore, Tamil Nadu, India. He gained entry into the Tamil film industry, Kollywood, due to his strong Theatrical background. His actual name is Mani, but he famously portrayed the role of a Oor-Gounder in one of his Stage plays and from then on he came to be known as Goundamani. He started acting in films at his age of 26 and until then he was doing stage shows. Goundamani was initially a solo act and then was paired up with Senthil to form a comedy duo. Stated as Kollywood's Laurel and Hardy, Senthil and Goundamani have entertained people with their rib-tickling slapstick humour for more than two decades now. Goundamani has entertained two generations of Tamil audience with his unique style of comedy. His dialogues are woven with sarcasm and contempt and were often accompanied with impeccable timing and body language.His most famous piece of comedy is the ""Vazhaipazham"" (Banana) joke with Senthil in the film Karagattakaran. His famous dialogue Arasiyalla ithellam satharnamappa (meaning this is common in politics), from the movie Suriyan later became one of his trademarks. He has also played the role of the protagonist in films Raja Enga Raja and Pirandhaen Valarndhaen. He has acted as a Hero in 10 films.Some of his memorable movies are with lead actors such as Sathyaraj, Karthik, Rajinikanth, Arjun, Parthiban, Jayaram, Kamal Hassan, Vijay, Ajith Kumar, Sarath Kumar and Prabhu. In several Tamil films, he has even accompanied the lead actor in almost all of the scenes and in a few songs.Early days in his career, he had a memorable role in 16 Vayathinile as a sidekick to Rajinikanth. Later, in early 80's, he had several hits like Unnai Nan Santhithen, Vaidhegi Kathirundal, etc., and his career revival in Karagatakkaran after a long slump can be attributed to comedians like Janakaraj.In the 90's, his career peaked in such a way that it was hard to make a hit Tamil film without him. He also has acted in several films with a double-hero role subjects, including films like Ullathai Allitha along with Karthik and Unakaaga Ellam Unakaaga.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=3925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=3925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=3925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=3925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=3925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=3925,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=3925,Q3522069,https://en.wikipedia.org/wiki/Goundamani,Goundamani
7322,Malin Akerman,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/malin-akerman-7322.jpg,12 May 1978,Stockholm,SE,,"Malin Maria Akerman is a Swedish-Canadian actress, model, and singer.Early lifeAkerman was born in Stockholm, Sweden to a model mother and an insurance broker father. Her family moved to Toronto, Canada when she was two years old. After her parents' divorce, her father returned to Sweden, and Akerman stayed in Canada with her mother. She lived in Niagara-on-the-Lake, Ontario for a short while, attending Parliament Oak Primary School, Niagara District until Grade 11, and then graduating at Sir Winston Churchill Secondary School. She went to York University for a year.CareerAt the age of seventeen, Akerman won the Ford Supermodel of Canada search. She appeared in several television commercials, including one for Noxzema skin care. After a career in modeling she turned to acting and moved to California. She has had roles in several films including The Utopian Society (2003) with Sam Doumit and Austin Nichols; and Harold & Kumar Go to White Castle (2004) as Freakshow's hot wife. She has made several TV guest appearances and in 2005 got the role as Juna in the HBO series The Comeback. She has also appeared on The Showbiz Show with David Spade as a correspondent and in the third season of HBO series Entourage in the role of ""Tori"".Akerman starred in the 2007 Farrelly Brothers movie The Heartbreak Kid and in the 2008 film 27 Dresses. She played Silk Spectre II in the 2009 film adaptation of Watchmen. By mid-October, 2008, Akerman has signed on to co-star in Couples Retreat, a comedy chronicling four couples who partake in therapy sessions at a tropical island resort. Vince Vaughn will play her husband.Personal lifeAkerman married Italian musician Roberto Zincone on June 20, 2007.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=7322,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=7322,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=7322,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=7322,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=7322,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=7322,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=7322,,,Malin Akerman
46387,Krithika Nelson,"Lyricst,Singer",Lyricst,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/krithika-nelson-20221229132624-46387.jpg,,"Chennai, Tamilnadu",IN,,"Krithika Nelson, also known as Krithika, is an Indian musician who also works as a playback singer, lyricist, dubbing artist, and songwriter. She was born in Tamil Nadu's city of Chennai. The Kollywood entertainment business has so far employed Krithika Nelson, and films in the Tamil and Telugu languages have featured her masterpiece.In the year 2019, she made her singing debut in the critically acclaimed Tamil film Adithya Varma, which also starred Dhruv Vikram. She became widely known and well appreciated for her singing skills. Later, she had approaches from a number of popular movies, including Nitham Oru Vaanam in 2022, Mani Ratnam's Ponniyin Selvan: 1, which she also performed in as a dubbing artist, and Vineeth Varap's Lift.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=46387,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=46387,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=46387,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=46387,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=46387,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=46387,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=46387,Q123784755,https://en.wikipedia.org/wiki/Krithika_Nelson,Krithika Nelson
41910,Tripti Dimri,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/tripti-dimri-20231204125120-41910.jpg,23 Feb 1994,Uttarakhand,IN,,"Tripti Dimri is a Bollywood actress who made her debut in the Hindi film Poster Boys. She is from Uttarakhand and completed her graduation in psychology from Sri Aurobindo College, Delhi University. She has been featured in Forbes Asia in their 30 Under 30 List of 2021 and she has been also featured by the Times Of India in the 50 Most Desirable Women List Of 2020.She gained huge recognition from the popular movie Animal starring Ranbir, Rashmika, Anil Kapoor, and Bobby Deol.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=41910,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=41910,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=41910,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=41910,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=41910,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=41910,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=41910,Q56425189,https://en.wikipedia.org/wiki/Triptii_Dimri,Tripti Dimri
4748,Raja Vannem Reddy,Director,Director,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/raja-vannem-reddy-20160503143650-4748.jpg,,,IN,,"Raja Vannem Reddy is a Telugu Indian film director and screenwriter. He is well known for making family films, most of which are very successful at the box office. In 2000, he directed a few movies like Kshemanga Velli Labanga Randi, Maa Intikoste Em Testaru, Aadivaram Adavallaku Selavu Kavali, Maa Aayana Chanti Pilladu Donga Sachinollu, Telugammayi and many others.His movie released in 2015 called Tommy had Rajendra Prasad play the lead role.BackgroundBorn and brought up in Chilukuru village and studied at Bhimavaram college, he was initially interested in stage dramas and participated in various college dramas. Before becoming an independent director, he used to associate with Dasari Narayan Rao.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=4748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=4748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=4748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=4748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=4748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=4748,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=4748,,,Raja Vannem Reddy
3366,Jai,"Actor,Singer",Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/jai-20131128174158-3366.jpg,06 Apr 1985,"Chennai, Tamil Nadu",IN,Actor_Jai,"Jai is a Tamil film actor. He is best known for his performances and appearances in the films Chennai 600028, Subramaniapuram and Engeyum Eppodhum. He is the nephew of music director Deva and cousin of Srikanth Deva.CareerHis first film was as Vijay's brother in the 2002 film Bhagavathi. Jai was set to make his debut in the lead role in a remake of the Telugu film, 6 Teens, but the film never took off.His first notable role was in Chennai 600028 (2007) and his first lead role was in the critically acclaimed Subramaniapuram (2008). He has since appeared in notable movies such as Goa, Kanimozhi, Aval Peyar Tamizharasi and Vaamanan. ControversyIn March 2009, Jai ran into trouble for making controversial comments about the potential box office fare of his future films. The actor, who was filming for Vaamanan, Aval Peyar Thamizharasi, Adhe Neram Adhe Idam and Arjunan Kadhali at the time revealed that only Vaamanan would do well and the rest would become financial failures.The producer of his films also revealed they wanted to take an action against Jai for ""making such irresponsible and damaging statements about his own films."" Initially, the Nadigar Sangam council had asked him to complete his pending assignments before he could start work on any other project, beginning with Venkat Prabhu's Goa. The film's producer, Soundarya Rajinikanth, intervened and bailed Jai out of the ban.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=3366,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=3366,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=3366,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=3366,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=3366,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=3366,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=3366,Q3424281,https://en.wikipedia.org/wiki/Jai_(actor),Jai
4966,Jeanette Hain,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/jeanette-hain-4966.jpg,18 Feb 1969,Munich,DE,,"Jeanette Hain is a German film actress. She appeared in more than 90 film and television productions since 1990. Hein is perhaps best-known to international audiences as Ralph Fiennes' girlfriend in the Academy Award-winning film The Reader (2008).Jeanette was born near Munich. While studying at the School of Television and Film in Munich, the by chance meeting with director Sherry Hormann made her childhood dream come true by resulting in her first leading part in ""Die Cellistin - Liebe und Verhängnis"". Since then, she has been not only playing in German and international films, but also on stage to highly critical acclaim.She has two children, Jonas and Malou and a dog with a tale but no tail.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=4966,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=4966,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=4966,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=4966,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=4966,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=4966,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=4966,Q125426,https://en.wikipedia.org/wiki/Jeanette_Hain,Jeanette Hain
23682,Supreet,Actor,Actor,male,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/supreet-20140211120114-23682.jpg,,,IN,,"Supreeth is an Indian actor from Telugu films. He is famous for his roles in movies like Chatrapati, Maryada Ramanna. He played villain, and supporting actor roles. He also acted in Bollywood in film Rowdy Rathore, a remake of Telugu film Vikramarkudu. He also played one of the baddies is Aamir Khan's Ghajini.Career He was interested in films from his childhood. He missed the auditions for the film Jayam. Later he is advised by director Teja to maintain an album. He acted in Pawan Kalyan's directorial debut Jhonny. For the sports film Sye directed by S. S. Rajamouli, he was trained in Rugby. He was first selected as a friend of the Hero Prabhas in Chhatrapati, but his role is changed to Katraju, a villain later. This got him a lot of name and fame. After that he played villain roles in many films. Though he got opportunities as a hero, he did not accept them. Personally he likes the acting style of Mohan Babu and Kota Srinivasa Rao.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=23682,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=23682,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=23682,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=23682,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=23682,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=23682,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=23682,,,Supreeth
14951,Suman Negi,Actress,Actress,female,https://www.filmibeat.com/img/220x275/popcorn/profile_photos/suman-negi-20170516100123-14951.jpg,,,,,"Suman Negi is an Indian film actress, who works mainly in Haryanvi films. Suman made her acting debut in the Haryanvi Film ""Dhakar Chhora"" along with Uttar Kumar.",http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=filmography&celeb-id=14951,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=upcoming-movies&celeb-id=14951,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=unkown-facts&celeb-id=14951,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=news&celeb-id=14951,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=videos&celeb-id=14951,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=gallery&celeb-id=14951,http://www.filmibeat.com/scripts/popcorn/feeds/feed-api-controller.php?action=celeb-data&section=awards&celeb-id=14951,,,Suman Negi
